easting,northing,coarse_local_slope,coarse_relief_m,coarse_width_m,coarse_area_ha,coarse_aspect_deg,tile
467993.0690776494,136958.6035047981,8.97327709197998,37.88841247558594,1396.8617963790894,19.55,172.1723,E464000_N136000
458708.52547386073,179890.43464194515,11.130098342895508,73.15238952636719,631.3134437799454,13.94,188.62408,E456000_N176000
492518.7100924594,115521.06886054562,6.586999416351318,56.181915283203125,1056.5122255682945,25.66,158.48743,E488000_N112000
500785.69635186705,139604.51560272925,11.866744995117188,56.50523376464844,896.3017556071281,14.3,200.34908,E496000_N136000
486696.1912228479,136203.95309687775,12.961437225341797,63.430328369140625,722.880539149046,14.59,183.61176,E480000_N136000
501234.0218034641,145466.35337919643,11.115805625915527,70.08999633789062,622.182599902153,10.44,202.11751,E496000_N144000
457410.8627467748,87367.0609622328,11.48019027709961,54.68444061279297,921.9409341365099,13.7,176.57849,E456000_N80000
499144.45832207525,138669.53730950152,13.380695343017578,72.62107849121094,517.9950669407845,11.31,204.89122,E496000_N136000
444895.53500667406,157526.04061939323,11.948829650878906,74.27093505859375,507.75457113981247,9.03,154.14606,E440000_N152000
482387.7850435004,127911.49194468393,15.532988548278809,63.83866882324219,641.698454618454,9.91,161.45776,E480000_N120000
486844.4443865681,134637.34757919525,13.345867156982422,44.824249267578125,1053.8941976428032,12.16,182.60895,E480000_N128000
474911.19026768766,116819.50181582176,6.66026496887207,32.33257293701172,1430.0218686461449,26.0,163.09424,E472000_N112000
489436.1306152088,111084.19479578771,7.858944892883301,44.542884826660156,1158.2625070214272,26.55,188.0774,E488000_N104000
490589.17032043263,114734.81313736664,6.234905242919922,48.81883239746094,1102.213994860649,11.89,141.56104,E488000_N112000
466091.22191202187,121634.08221055391,9.48906135559082,65.6868896484375,691.0090467333794,21.37,190.04752,E464000_N120000
504428.4500978832,107753.01468920904,9.418304443359375,34.63702392578125,1311.4773517847061,16.98,165.54639,E504000_N104000
498742.8744156049,113729.45414015498,23.7177677154541,58.57542419433594,546.6847026348114,4.45,144.134,E496000_N112000
487540.16987508326,132839.1157492692,10.967201232910156,57.400360107421875,823.8816648721695,18.63,174.12488,E480000_N128000
507906.0003972551,142403.74954871778,11.185040473937988,77.29827880859375,419.9700343608856,8.01,179.31567,E504000_N136000
