rank,selection_tier,ideal_match,paragliding_score,name,grid_ref,facing,aspect_deg,distance_miles,representative_slope_deg,vertical_relief_m,vertical_relief_ft,ridge_length_m,ridge_8deg_m,ridge_9_5deg_m,percent_face_8deg,percent_face_9_5deg,connected_area_ha,downslope_span_m,roughness_m,gaps_count,largest_gap_m,slope_score,relief_score,ridge_score,exposure_proxy_score,continuity_score,launch_proxy_score,aspect_score,whitewool_similarity_pct,latitude,longitude,easting,northing,category,status
11,Ideal,True,77.78232685846774,Unnamed face near TQ 065 487,TQ 0618 4901,S,186.8632659912109,26.13585488468422,10.325202941894531,35.61100387573242,116.83400595565796,1952.2334090479417,2071.413220508897,2036.9824193060049,65.96585323955222,49.93080938701889,68.58009721493333,739.7205436011718,3.718670606613159,0,0,100.0,17.345559861924915,100.0,61.36660232543946,100.0,97.20516986317105,87.52133456143471,37.578376319484754,51.230411868099125,-0.4806463838399408,506180.4874428472,149010.1832193895,Likely ridge-soarable,Likely ridge-soarable
12,Ideal,True,77.58572452645028,Unnamed face near SU 964 154,SU 9630 1464,SSE,162.7259521484375,22.234675776976825,10.993766784667969,39.778839111328125,130.50800651000978,1571.510418338352,1515.3857633759617,1440.9259088368271,70.25055249354315,56.03482706286445,48.12166507662222,657.808992903505,5.173431873321533,0,0,100.0,21.976487901475693,100.0,63.867303466796876,100.0,86.64186398188274,68.59264026988636,52.30674819053574,50.92323652477476,-0.6311500647919581,496307.3975480124,114645.21703702428,Likely ridge-soarable,Likely ridge-soarable
13,Ideal,True,77.585475228286,Unnamed face near SU 927 154,SU 9355 1473,SSE,166.100830078125,20.805010498105176,13.63279628753662,50.7132568359375,166.3820815576172,824.0252988274442,842.6428688882152,805.8418882355909,72.99571603427172,59.10342717258262,19.249626670755557,557.503195341109,7.418359279632568,0,0,100.0,34.12584092881944,79.82600883182246,70.4279541015625,100.0,81.83230797449748,74.72878196022728,60.17669506988439,50.92450388174389,-0.6702832522941022,493554.445233558,114735.86584892216,Likely ridge-soarable,Likely ridge-soarable
14,Ideal,True,77.43233677377188,Unnamed face near SU 817 121,SU 8257 1162,SE,142.55398559570312,17.40054254556366,13.234940528869627,50.084251403808594,164.31841537567138,2056.5256340837223,2245.9664285923936,1111.5345053753117,77.78098457986312,65.1851241032407,50.43200453315556,1106.899231579533,7.060346603393555,0,0,100.0,33.42694600423177,100.0,70.05055084228516,100.0,74.40058390299478,31.916337446732957,57.4967396831642,50.89822038815118,-0.8271912762991873,482573.0605850968,111626.1750803118,Likely ridge-soarable,Likely ridge-soarable
15,Ideal,True,77.1727877656558,Unnamed face near SZ 574 873,SZ 5702 8736,S,177.741943359375,29.990140371549632,10.823230743408203,37.89396667480469,124.3240416253662,1969.5230995269376,2053.485854330356,1149.5404811431654,65.1835737275003,49.02252950292049,37.40252255306667,695.1696395988401,6.279495716094971,0,0,100.0,19.882185194227432,100.0,62.73638000488282,100.0,77.86835855907863,95.8944424715909,43.968900126036715,50.683129607517806,-1.194257963893233,457020.4178576541,87362.09301192775,Likely ridge-soarable,Likely ridge-soarable
16,Ideal,True,77.15645499924327,Unnamed face near SU 875 328,SU 8777 3323,SSE,158.435302734375,13.157531493301304,10.768610954284668,35.89933013916016,117.7799582937622,1309.3076342989807,1361.0490721318638,1327.4687732273014,64.23998910378643,49.39730318714247,27.711264943644444,1022.8744250684832,5.071537017822266,0,0,100.0,17.665922376844627,100.0,61.5395980834961,98.94892110098124,91.94402270846898,60.79145951704545,62.935191467896956,51.09172075814334,-0.7480851132239025,487770.6197445869,133235.0355909087,Likely ridge-soarable,Likely ridge-soarable
17,Ideal,True,77.11683663864571,Unnamed face near TQ 054 501,TQ 0548 4910,S,183.61697387695312,25.749745583832667,10.55876350402832,36.58674621582031,120.03526045471192,1629.5900163432816,1938.845966068155,1895.1714021848748,72.48804916913271,52.84543592078306,40.68631065102222,370.6460233982653,2.7527499198913574,0,0,100.0,18.429718017578125,100.0,48.72638496253641,100.0,100.0,93.42368386008523,47.444739972485124,51.2313817204872,-0.4905888129194499,505484.1086383013,149103.7282293663,Likely ridge-soarable,Likely ridge-soarable
18,Ideal,True,77.05151524027139,Pidham Hill,SU 7099 2417,S,170.98486328125,7.053616222143718,10.58358669281006,35.39399719238281,116.12204174865722,1549.260904900846,1701.1242973521585,1319.9175624448108,62.73147378569767,48.37261877057083,29.35876272657778,433.70261750342615,6.140355587005615,0,0,100.0,17.104441324869793,100.0,58.520167899334055,96.86267651213508,87.78750605053372,83.60884232954545,61.24726967793267,51.0125502045047,-0.9894151415029874,470990.9462524644,124171.29276121414,Likely ridge-soarable,Likely ridge-soarable
19,Ideal,True,77.04197495249554,Unnamed face near TQ 019 489,TQ 0219 4813,S,183.2779235839844,23.627519934946942,11.320493698120115,37.97068786621094,124.57575157897948,2232.2577428974328,1132.794399303908,1077.5537647535093,58.565904641718845,45.60015531718682,51.83453908888889,836.8175002026546,5.562072277069092,0,0,100.0,19.967430962456596,100.0,62.782412719726565,91.10178301514308,90.03638558917575,94.04013893821018,36.27349185651362,51.22331432051402,-0.5379143667310506,502197.8280725314,148139.7985421222,Likely ridge-soarable,Likely ridge-soarable
20,Ideal,True,76.99045587112575,Unnamed face near SU 854 289,SU 8587 2905,S,171.68682861328125,12.449445074277738,11.04096794128418,36.87293243408203,120.97419164703368,1532.4440806936473,1569.1986232117051,1534.143543162034,60.48210810001497,47.03897789090183,65.04334055555555,1250.2133708675246,5.401269912719727,0,0,100.0,18.74770270453559,100.0,62.12375946044922,93.75185162768027,90.66172811720105,84.88514293323863,43.48242850455905,51.0544215571285,-0.7760746731554734,485879.4405501987,129054.29572746468,Likely ridge-soarable,Likely ridge-soarable
