easting,northing,coarse_local_slope,coarse_sustained_slope,coarse_p65_sustained_slope,coarse_relief_m,coarse_profile_drop240_m,coarse_width_m,coarse_downslope_span_m,coarse_area_ha,coarse_aspect_deg,strict_profile_count,strict_profile_fraction,tile
499645.8393088127,138447.84417815306,10.402826309204102,10.439786911010742,11.935802459716797,95.74803924560547,43.294288635253906,877.3546850681305,648.5070192813873,26.25,202.63835,72,0.45,E496000_N136000
502124.7523574526,108360.22366403206,15.670316696166992,10.636865615844727,11.7195405960083,74.89616394042969,48.94427490234375,1083.8383835554123,524.9365957081318,13.84,172.0343,69,0.43125,E496000_N104000
494487.48619094415,115102.99378513439,10.73527717590332,11.206329345703125,12.22159194946289,97.60249328613281,47.69981384277344,712.1136583574116,659.2533680610359,12.64,155.62854,85,0.53125,E488000_N112000
488975.36842169974,129702.40694712091,9.721964836120605,10.845219612121582,12.381159782409668,92.33287048339844,43.898414611816406,810.015210150741,630.0532355275936,30.55,183.00485,75,0.46875,E488000_N128000
474580.7869551586,131444.23412232538,16.376291275024414,13.278018951416016,13.827319145202637,87.86030578613281,60.40968704223633,749.5940436422825,500.5090990662575,15.27,194.206,152,0.95,E472000_N128000
488456.0593609599,113507.56154453238,12.312637329101562,12.181812286376953,13.18067741394043,85.69779205322266,52.80124282836914,815.8715575933456,447.195079177618,24.24,194.54536,108,0.675,E488000_N112000
492350.09136856184,130567.17202151983,16.22019386291504,12.34060287475586,13.273983001708984,96.24853515625,52.890647888183594,522.3835563659668,477.32457756996155,10.45,138.34872,122,0.7625,E488000_N128000
500437.8532821694,138492.81169744494,11.899886131286621,10.683679580688477,13.175867080688477,91.84115600585938,45.09785079956055,696.6743189096451,447.2133779525757,14.48,208.50952,73,0.45625,E496000_N136000
504574.2493504864,112368.09121637247,10.80319595336914,11.831089973449707,12.15540885925293,76.71702575683594,52.052242279052734,990.9831055998802,436.0122834146023,24.29,204.49738,111,0.69375,E504000_N112000
485545.5723124757,129004.8748814808,14.550137519836426,12.850261688232422,13.528281211853027,89.1361083984375,54.688602447509766,660.1797464489937,468.03153961896896,17.71,211.5474,126,0.7875,E480000_N128000
436540.61776722077,162119.48345228698,16.712635040283203,10.979482650756836,11.640461921691895,67.29177856445312,47.53083801269531,1048.876736909151,417.3237680643797,19.29,171.82916,75,0.4838709677419355,E432000_N160000
460426.9260510153,122417.53402743721,10.841198921203613,13.722963333129883,14.653307914733887,74.61973571777344,60.89459228515625,985.4678022861481,406.4211666584015,16.02,179.15332,138,0.8625,E456000_N120000
469319.193101186,122734.9297876582,12.186659812927246,11.480218887329102,11.872467994689941,73.65443420410156,50.084999084472656,938.069935888052,405.7481950521469,21.97,195.31558,90,0.5625,E464000_N120000
506061.18092699785,142564.30020656422,13.38221263885498,10.696155548095703,11.446235656738281,79.68159484863281,45.41773223876953,792.947151362896,427.8355439007282,15.03,204.15802,69,0.43125,E504000_N136000
508260.6616355378,142233.04909959194,9.627031326293945,10.173843383789062,11.478846549987793,96.73623657226562,42.01658630371094,507.91798919439316,508.64272221922874,15.96,195.79211,68,0.425,E504000_N136000
439774.792516389,159620.89415650413,14.877280235290527,12.111527442932129,12.742831230163574,87.7437744140625,52.236366271972656,543.8703572750092,444.6394371986389,13.01,191.48648,114,0.7125,E432000_N152000
464139.93946699786,120444.98429803592,9.590717315673828,10.711395263671875,11.709559440612793,67.95014953613281,45.723106384277344,989.4371598958969,435.164697766304,24.89,210.13121,73,0.45625,E464000_N120000
481547.90801955457,110367.84507565979,9.793213844299316,11.828393936157227,12.405181884765625,76.55612182617188,50.0058708190918,787.3077462613583,705.6335291266441,25.01,166.69275,110,0.6875,E480000_N104000
493662.3381699341,114810.87735323484,15.469334602355957,13.214160919189453,13.478530883789062,79.73249816894531,57.989776611328125,583.7169587612152,329.4803246855736,10.33,198.33644,131,1.0,E488000_N112000
