g,k,f,lat,lon
a,c,4,51.2629,-2.19908
a,c,4,51.4922,-2.14012
a,c,4,51.1865,-2.25525
a,c,4,51.80912,-2.06437
a,c,4,51.81468,-2.06258
a,c,4,51.2688,-2.20088
a,c,4,51.26698,-2.19992
a,c,4,52.00945,-2.05407
a,c,4,52.01437,-2.0763
a,c,4,51.59582,-2.11048
a,c,4,51.6906,-2.11307
a,c,4,51.18433,-2.2556
a,c,4,51.69272,-2.11263
a,c,4,51.25972,-2.20172
a,c,4,51.7235,-2.1054
a,c,4,52.01347,-2.06635
a,c,4,51.09875,-2.27498
a,c,4,51.48442,-2.14338
a,c,4,51.83268,-2.06082
a,c,4,51.40183,-2.1717
a,c,4,51.67892,-2.11682
a,c,4,51.2574,-2.20632
a,c,4,51.90185,-2.04997
a,c,4,51.41488,-2.16945
a,c,4,51.42282,-2.16563
a,c,4,51.17178,-2.25158
a,c,4,51.27948,-2.19562
a,c,4,51.39965,-2.1717
a,c,4,51.80707,-2.06563
l,t,4,51.10878,-2.27165
l,t,4,51.29655,-2.19145
l,t,4,51.61993,-2.12382
l,c,4,52.00585,-2.10587
l,c,4,51.09705,-2.2772
l,c,4,51.10667,-2.278
l,c,4,51.10288,-2.27673
l,c,4,51.60228,-2.11112
l,c,4,52.00802,-2.10503
l,c,4,51.10215,-2.27652
l,c,4,52.00625,-2.10808
l,c,4,52.00458,-2.10685
l,c,4,51.09952,-2.27803
l,c,4,52.00918,-2.09908
l,c,4,51.09855,-2.27642
l,c,4,52.0098,-2.09813
l,c,4,51.09875,-2.27498
l,c,4,51.10502,-2.27795
