k,f,e,lat,lon,alt,low,d_junction_m,d_major_junction_m,d_any_road_m,d_major_road_m,d_agri_edge_m,d_urban_edge_m,d_wood_edge_m,d_place_m,agri_inside,urban_inside,big_agri_near300,junction_300,junction_500,major_junction_500,major_road_300,any_road_150,agri_edge_300,wood_edge_300,urban_near500,place_near2000,road_agri_boundary,surface_boundary_300
c,0,11,52.02628,-0.80658,1143,0,87.36904629786589,129.04873278350055,7.830636902045707,87.12844465508161,93.93735148911304,25.366810513960754,77.90506707928431,3260.7060036919156,0,1,0,1,1,1,1,1,1,1,1,0,1,1
c,0,11,52.05502,-0.77278,1211,0,18.887877556486718,84.37496168662297,18.686402813634096,84.37496168662297,27.413153923131645,24.640182355444512,56.064022414470465,1842.826618357316,0,1,0,1,1,1,1,1,1,1,1,1,1,1
c,0,11,52.04087,-0.78993,1231,0,92.00866452440944,125.19368966560091,91.77435222837981,91.77435222837981,131.0513703498272,128.94465046072986,38.67546850633188,2093.7519604643,0,0,0,1,1,1,1,1,1,1,1,0,1,1
t,0,12,51.97037,-0.83897,1000,0,633.5209378995,474.3349456119281,440.46046990977374,473.8543807569842,118.49229735214476,350.1738410003021,152.0804576868015,733.3907092636595,1,0,1,0,0,1,0,0,1,1,1,1,0,1
c,0,12,52.03035,-0.80373,1090,0,56.073421049601635,249.18534503870032,35.02603128343774,245.9460498783067,159.7429594883849,4.696828976846132,218.4344076871244,3249.299142338846,0,0,0,1,1,1,1,1,1,1,1,0,1,1
c,0,12,52.02982,-0.80547,1123,0,72.38402895892266,177.0077961546459,29.600933712946322,161.7848186639007,32.51615501214477,96.11597751984304,144.99107251173558,3339.236006492958,0,1,0,1,1,1,1,1,1,1,1,0,1,1
c,0,12,52.05833,-0.77295,1142,0,38.467243934484145,38.467243934484145,37.474859431431625,37.474859431431625,26.196261008979437,71.62258660338682,15.826328542084966,2174.882709436429,0,0,0,1,1,1,1,1,1,1,1,0,1,1
t,0,13,52.07113,-0.77503,881,0,29.02955668560917,368.0922320852941,9.924205742180707,229.7953782827897,350.08058185556536,65.45827706217891,131.78831049008951,1398.0704769565423,0,1,0,1,1,1,1,1,0,1,1,1,0,1
c,0,13,52.07828,-0.78165,750,0,597.6548991705512,564.6997501116034,437.2941413195182,564.6663255136441,442.21271514496686,513.2008906519279,7.029217823758502,640.1957337250674,0,0,0,0,0,0,0,0,0,1,0,1,0,1
c,0,13,52.07797,-0.78433,718,0,453.76413658882393,523.6257070194587,264.94764124427616,452.07966921826466,605.9485036940051,384.31523546014904,103.55527607907773,465.9943887251842,0,0,0,0,1,0,0,0,0,1,1,1,0,1
c,0,13,52.07772,-0.78732,673,0,336.3802243679607,358.7832878122877,122.7539715284034,301.5120864637241,802.1400105469158,230.89020842817533,309.5267442983082,285.34025469778913,0,0,0,0,1,1,0,1,0,0,1,1,0,1
t,1,1,51.51757,-1.70018,257,1,342.96336920823325,919.2056913366339,208.4759386604656,208.4759386604656,59.57403491664085,271.8040048027866,271.8040048027866,1595.2328212379782,1,0,1,0,1,0,1,0,1,1,1,1,0,1
c,1,1,51.35873,-1.4844,258,1,954.8793644823961,2768.8565839676403,639.0827730401089,1832.7883592093401,176.07217667136894,1064.2060529508472,128.73995860071673,1744.7775073360099,0,0,1,0,0,0,0,0,1,1,0,1,0,1
c,1,1,51.3587,-1.4848,267,1,981.1749517418382,2741.0856557195407,666.3031755965782,1836.8799935410477,167.21073535044104,1078.9424248794114,119.56829098316447,1751.2608312216819,0,0,1,0,0,0,0,0,1,1,0,1,0,1
